Date,Day,High Temp (F),Low Temp (F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total,
7-Jan,6,84.9,72,0.23,1848,2958,3845,3216,11867,36484.20396
7-Feb,7,87.1,73,0,2467,3776,4173,3579,13995,44028.89077
7-Mar,1,87.1,71.1,0.45,2714,4199,4924,4230,16067,51510.75433
7-Apr,2,82.9,70,0,2296,4084,3684,3861,13925,43778.34821
7-May,3,84.9,71.1,0,3170,6770,7308,5862,23110,77738.41674
7-Jun,4,75,71.1,0,3065,6243,7302,5251,21861,73009.5264
7-Jul,5,79,68,1.78,1513,3567,4421,3304,12805,39790.99556
7-Aug,6,82.9,70,0,2718,4807,5781,3952,17258,55864.98144
7-Sep,7,81,69.1,0,3048,5446,5782,4044,18320,59777.7946
7-Oct,1,82.9,71.1,0,3506,7503,8106,5712,24827,84286.78421
7-Nov,2,84,75,0,2929,6436,7249,5129,21743,72564.33715
7-Dec,3,87.1,77,0,2860,6283,7102,4929,21174,70421.55079
Jul-13,4,89.1,77,0,2563,5150,6116,4461,18290,59666.88867
Jul-14,5,69.1,64.9,0.35,907,2182,2974,2147,8210,23927.75732
Jul-15,6,82.9,68,0,2853,4857,5631,3918,17259,55868.65274
Jul-16,7,84.9,70,0,2917,5190,5370,4062,17539,56897.60068
Jul-17,1,84.9,73.9,0,3264,7316,7789,5468,23837,80504.54631
Jul-18,2,87.1,75.9,0,3507,7732,8268,5531,25038,85095.13766
Jul-19,3,91,77,0,3114,6710,7776,5247,22847,76740.17031
Jul-20,4,93,78.1,0.01,2840,5980,6781,4804,20405,67536.1753
Jul-21,5,91,77,0,2751,5469,6548,5005,19773,65174.24285
Jul-22,6,91,78.1,0.57,2301,3745,4535,3841,14422,45560.46563
Jul-23,7,78.1,73,0.06,2321,3756,4096,3124,13297,41537.55253
Jul-24,1,69.1,63,0.74,1576,3584,3867,2835,11862,36466.66124
Jul-25,2,71.1,64,0,3191,7201,7496,5698,23586,79548.42418
Jul-26,3,75.9,66,0,3821,7987,8605,6556,26969,92527.99396
Jul-27,4,77,66.9,0,3287,6624,7221,5997,23129,77810.58393
Jul-28,5,84.9,73,0,3123,6135,6987,5496,21741,72556.79396
Jul-29,6,75.9,68,0,2074,3787,5242,3711,14814,46971.34005
Jul-30,7,81,64.9,0,3331,5282,5759,4324,18696,61169.61368
Jul-31,1,88,66.9,0,3560,7404,7546,5774,24284,82210.11632
